Bank_Name,Year,Bank_Type,Deposits_Cr,Advances_Cr,Total_Assets_Cr,Net_Profit_Cr,Gross_NPA_Cr,Net_NPA_Cr,Net_NPA_Pct,Return_on_Assets_Pct,Capital_Adequacy_Ratio_Pct,Credit_Deposit_Ratio,Business_Per_Employee_Cr,Profit_Per_Employee_Lakh,ATMs_Total,ATMs_OnSite,ATMs_OffSite,PoS_Terminals,Micro_ATMs,UPI_QR_Codes,Bharat_QR_Codes,Credit_Cards_Outstanding,Debit_Cards_Outstanding
The Jammu & Kashmir Bank Ltd.,2022,Private sector,114710.0,70401.0,130602.0,501.56,6521.0,1750.0,2.48576014545248,0.42,13.23,61.3730276349054,13.87,3.7,,,,,,,,,
The Jammu & Kashmir Bank Ltd.,2023,Private sector,122038.0,82285.45,145962.26,1197.0,5204.43,1334.24,1.62147743009244,0.89,15.39,67.4260885953555,15.57,9.06,,,,,,,,,
The Jammu & Kashmir Bank Ltd.,2024,Private sector,134774.89,93762.51,154526.59,1767.27,3956.19,736.85,0.785868467045091,1.22,15.33,69.5697173264248,17.81,13.75,,,,,,,,,
The Karnataka Bank Ltd.,2022,Private sector,80386.84,56783.14,91583.99,509.0,2250.82,1376.97,2.42496276183388,0.56,15.66,70.6373580551244,16.1,5.97,,,,,,,,,
The Karnataka Bank Ltd.,2023,Private sector,87368.01,59951.62,99058.34,1180.24,2292.91,1021.27,1.70349024763634,1.21,17.45,68.6196469394233,17.03,13.64,,,,,,,,,
The Karnataka Bank Ltd.,2024,Private sector,98057.83,71508.64,116084.57,1306.28,2578.42,1129.18,1.58,1.22,18.0,72.9249668282482,19.07,14.67,,,,,,,,,
The Karur Vysya Bank Ltd.,2022,Private sector,68486.0,54661.0,80071.34,674.0,3431.0,1261.0,2.30694645176634,0.86,19.21,79.8133925181789,17.16,9.22,,,,,,,,,
The Karur Vysya Bank Ltd.,2023,Private sector,76637.58,63134.14,90179.42,1106.09,1458.15,468.15,0.741516396675396,1.27,18.56,82.3801325668164,18.11,14.25,,,,,,,,,
The Karur Vysya Bank Ltd.,2024,Private sector,89112.72,73667.48,105585.2,1604.81,1041.64,297.97,0.404479697147235,1.63,16.67,82.667749340386,18.0,17.66,,,,,,,,,
The South Indian Bank Ltd.,2022,Private sector,89142.11,59993.39,100052.42,44.98,3648.09,1777.77,2.96327645428938,0.04,15.86,67.3008413195514,16.48,0.5,,,,,,,,,
The South Indian Bank Ltd.,2023,Private sector,91651.35,69804.44,107698.18,775.09,3708.26,1293.61,1.8531915734873,0.73,17.25,76.1630243307927,16.28,8.18,,,,,,,,,
The South Indian Bank Ltd.,2024,Private sector,101920.26,78060.65,117412.79,1070.08,3620.34,1134.58,1.45345958559146,0.93,19.91,76.5899243192668,17.65,11.09,,,,,,,,,
UCO Bank,2022,Public sector bank,224072.9,122784.41,267784.02,4797.44,10237.43,3315.78,2.70048941881139,0.34,13.74,54.7966353807176,16.33,4.0,2586.0,2367.0,218.0,10626.0,3568.0,1393899.0,156.0,0.0,13420914.0
UCO Bank,2023,Public sector bank,249337.74,155870.18,300862.99,4340.67,7726.46,2018.02,1.29467997021624,0.62,16.51,62.5136732209091,18.9,8.56,2586.0,2367.0,218.0,10626.0,3568.0,1393899.0,156.0,0.0,13420914.0
UCO Bank,2024,Public sector bank,263129.77,182021.87,323691.45,4576.24,6463.3,1621.64,0.89090393368665,0.56,16.98,69.1757036841555,20.93,7.69,2586.0,2367.0,218.0,10626.0,3568.0,1393899.0,156.0,0.0,13420914.0
Ujjivan Small Finance Bank Ltd.,2022,Small Finance Bank,18292.0,16303.0,23612.18,-415.0,1284.0,99.6,0.61,-2.04,18.99,89.13,1.81,-2.53,613.0,609.0,4.0,0.0,0.0,554925.0,0.0,0.0,6612958.0
Ujjivan Small Finance Bank Ltd.,2023,Small Finance Bank,25538.0,21290.0,33316.88,1100.0,630.61,9.04,0.04,4.04,25.81,83.37,2.39,6.33,613.0,609.0,4.0,0.0,0.0,554925.0,0.0,0.0,6612958.0
Ujjivan Small Finance Bank Ltd.,2024,Small Finance Bank,31462.0,26883.0,40422.22,1281.0,612.52,76.29,0.28,3.47,24.69,85.44,2.6,6.34,613.0,609.0,4.0,0.0,0.0,554925.0,0.0,0.0,6612958.0
Union Bank of India,2022,Public sector bank,1032392.63,661004.66,1187591.06,21873.21,79587.07,24303.3,3.67672143188824,0.47,14.52,64.0264799255686,23.26,6.96,8857.0,7766.0,1092.0,50128.0,8065.0,291241.0,370680.0,484979.0,56909408.0
Union Bank of India,2023,Public sector bank,1117716.32,761845.46,1280752.45,25467.16,60987.29,12927.44,1.69685857286595,0.69,16.04,68.1608961386553,25.5,11.16,8857.0,7766.0,1092.0,50128.0,8065.0,291241.0,370680.0,484979.0,56909408.0
Union Bank of India,2024,Public sector bank,1221528.37,870776.09,1391957.62,28210.63,43097.73,8989.92,1.03240317496545,1.03,16.97,71.2857852003879,28.02,17.99,8857.0,7766.0,1092.0,50128.0,8065.0,291241.0,370680.0,484979.0,56909408.0
Unity Small Finance Bank Ltd.,2022,Small Finance Bank,3822.0,2419.0,10811.0,-150.0,3773.0,197.0,8.14,-6.28,63.71,63.29,3.53,-0.08,189.0,189.0,0.0,0.0,0.0,0.0,0.0,52815.0,103671.0
Unity Small Finance Bank Ltd.,2023,Small Finance Bank,2685.0,4468.0,8761.33,35.0,3767.36,15.31,0.34,0.43,49.4,166.44,2.43,0.01,189.0,189.0,0.0,0.0,0.0,0.0,0.0,52815.0,103671.0
Unity Small Finance Bank Ltd.,2024,Small Finance Bank,6505.0,7961.0,13774.0,439.0,360.21,50.0,0.63,4.0,36.4,122.38,3.11,0.09,189.0,189.0,0.0,0.0,0.0,0.0,0.0,52815.0,103671.0
Utkarsh Small Finance Bank Ltd.,2022,Small Finance Bank,10074.0,10228.0,15063.77,62.0,648.16,235.8,2.31,0.48,21.59,101.53,1.55,0.54,316.0,310.0,6.0,0.0,779.0,40890.0,0.0,191450.0,1634858.0
Utkarsh Small Finance Bank Ltd.,2023,Small Finance Bank,13710.0,13069.0,19117.54,404.0,431.5,50.51,0.39,2.45,20.64,95.32,1.67,2.87,316.0,310.0,6.0,0.0,779.0,40890.0,0.0,191450.0,1634858.0
Utkarsh Small Finance Bank Ltd.,2024,Small Finance Bank,17473.0,16365.0,23902.677,498.0,417.5782,4.4892,0.03,2.46,22.57,93.66,1.83,3.07,316.0,310.0,6.0,0.0,779.0,40890.0,0.0,191450.0,1634858.0
YES Bank,2022,Private sector,197192.0,181052.0,318220.0,1066.21,27976.0,8205.0,4.53184720411815,0.4,17.4,91.8150837762181,15.58,4.6,1331.0,1193.0,138.0,102064.0,78560.0,541118717.0,146970.0,2642559.0,5324006.0
YES Bank,2023,Private sector,217501.86,203269.44,354786.13,717.4,4394.57,1658.09,0.815710418644337,0.2,17.9,93.4564145796271,15.67,2.8,1331.0,1193.0,138.0,102064.0,78560.0,541118717.0,146970.0,2642559.0,5324006.0
YES Bank,2024,Private sector,266372.17,227799.47,405492.99,1251.08,3982.56,1329.73,0.583728311571577,0.3,15.4,85.519245497756,17.42,4.5,1331.0,1193.0,138.0,102064.0,78560.0,541118717.0,146970.0,2642559.0,5324006.0
